"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/harry_and_the_hendersons","Harry and the Hendersons",1987-06-05,"PG","Rotten",43,21,"Spilled",54,45686,"Male",11,15,73,1987,"PG"
"m/hell_comes_to_frogtown","Hell Comes to Frogtown",1987-01-01,"R","Rotten",56,9,"Spilled",47,3046,"Male",7,11,64,1987,"R"
"m/hello_again","Hello Again",1987-11-06,"PG","Rotten",11,19,"Spilled",50,5905,"Male",10,22,45,1987,"PG"
"m/hello_mary_lou_prom_night_2","Hello Mary Lou: Prom Night II",1987-10-01,"R","Rotten",53,17,"Spilled",37,7732,"Male",3,5,60,1987,"R"
"m/hellraiser","Hellraiser",1987-09-18,"R","Fresh",72,46,"Upright",72,69664,"Male",7,10,70,1987,"R"
"m/hiding_out","Hiding Out",1987-11-06,"PG-13","Rotten",33,6,"Upright",70,2963,"Male",15,21,71,1987,"PG-13"
"m/1009972-hot_pursuit","Hot Pursuit",1987-05-08,"PG-13","Rotten",0,5,"Spilled",43,3888,"Male",11,13,85,1987,"PG-13"
"m/house_2_the_second_story","House II: The Second Story",1987-08-28,"PG-13","Rotten",8,13,"Spilled",42,8404,"Male",10,14,71,1987,"PG-13"
"m/house_of_games","House of Games",1987-10-01,"R","Fresh",96,27,"Upright",79,6501,"Male",7,9,78,1987,"R"
"m/howling_iii_the_marsupials","Howling III: The Marsupials",1987-11-13,"PG-13","Rotten",17,12,"Spilled",16,5857,"Male",8,9,89,1987,"PG-13"
"m/innerspace","Innerspace",1987-07-03,"PG","Certified-Fresh",82,44,"Upright",65,35487,"Male",22,30,73,1987,"PG"
"m/ironweed","Ironweed",1987-12-18,"R","Rotten",58,24,"Spilled",59,2818,"Male",13,20,65,1987,"R"
"m/ishtar","Ishtar",1987-05-15,"PG-13","Rotten",37,54,"Spilled",39,5011,"Male",15,20,75,1987,"PG-13"
"m/a-gai-waak-juk-jaap-project-a-part-ii","Jackie Chan's Project A2 ('A' gai wak juk jap) (Project A, Part II)",1987-08-19,"PG-13","Fresh",71,7,"Upright",66,5158,"Male",1,4,25,1987,"PG-13"
"m/jaws_the_revenge","Jaws: The Revenge",1987-01-01,"PG-13","Rotten",0,38,"Spilled",15,88497,"Male",6,11,55,1987,"PG-13"
"m/la_bamba","La Bamba",1987-07-24,"PG-13","Certified-Fresh",91,43,"Upright",78,52251,"Male",12,20,60,1987,"PG-13"
"m/law_of_desire","Law of Desire",1987-02-07,"NC17","Fresh",100,13,"Upright",82,5975,"Male",6,10,60,1987,"NC17"
"m/leonard-part-6","Leonard Part 6",1987-12-18,"PG","Rotten",9,11,"Spilled",20,2565,"Male",5,10,50,1987,"PG"
"m/less_than_zero","Less Than Zero",1987-11-06,"R","Rotten",50,26,"Upright",63,12491,"Male",10,16,62,1987,"R"
"m/lethal_weapon","Lethal Weapon",1987-03-06,"R","Certified-Fresh",81,57,"Upright",86,344521,"Male",19,24,79,1987,"R"
"m/1013259-mannequin","Mannequin",1987-02-13,"PG","Rotten",21,39,"Spilled",55,44732,"Male",17,27,63,1987,"PG"
"m/masters_of_the_universe","Masters of the Universe",1987-08-07,"PG","Rotten",17,24,"Spilled",40,48751,"Male",11,17,65,1987,"PG"
"m/maurice","Maurice",1987-09-01,"R","Fresh",89,27,"Upright",87,7523,"Male",15,22,68,1987,"R"
"m/moonstruck","Moonstruck",1987-12-18,"PG","Certified-Fresh",93,61,"Upright",81,44806,"Male",15,29,52,1987,"PG"
