"name","score","year","votes","budget","gross","net_profit","runtime","gender","genre","genre_","rating_","director_","writer_","star_","country_","company_","female_indicator","title_unique_score","cpi","adj_gross","adj_budget"
"The Evil Dead",7.5,1981,192000,350000,2956630,2606630,85,2,"Horror",10,4,2289,3538,269,53,1754,0,1172,1.10378312765527,3263478,386324
"Blow Out",7.4,1981,47000,1.8e+07,1.2e+07,-6e+06,108,2,"Crime",6,8,295,487,1095,53,952,0,27,1.10378312765527,13245398,19868096
"Clash of the Titans",6.9,1981,42000,1.5e+07,41092328,26092328,118,2,"Action",1,6,663,390,1308,52,549,0,967,1.10378312765527,45357018,16556747
"Excalibur",7.4,1981,59000,1.1e+07,34971136,23971136,140,2,"Adventure",2,8,1266,3888,1650,52,590,0,1,1.10378312765527,38600550,12141614
"Mad Max 2",7.6,1981,170000,3e+06,23668369,20668369,96,2,"Action",1,8,901,3860,1507,4,1272,0,104,1.10378312765527,26124746,3311349
"Stripes",6.9,1981,68000,1e+07,85297000,75297000,106,2,"Comedy",5,8,1034,2389,205,53,644,0,2,1.10378312765527,94149389,11037831
"The Cannonball Run",6.2,1981,34000,1.8e+07,72179579,54179579,95,2,"Action",1,6,970,515,282,53,1044,0,1127,1.10378312765527,79670601,19868096
"Thief",7.4,1981,27000,5500000,11492915,5992915,123,2,"Action",1,8,1769,1293,881,53,1420,0,6,1.10378312765527,12685686,6070807
"Time Bandits",7,1981,60000,5e+06,42368025,37368025,110,2,"Adventure",2,6,2506,2770,1987,52,1094,0,29,1.10378312765527,46765111,5518916
"Friday the 13th Part 2",6.1,1981,61000,1250000,21722776,20472776,87,1,"Horror",10,8,2432,3458,196,53,1022,1,638,1.10378312765527,23977234,1379729
"For Your Eyes Only",6.7,1981,94000,2.8e+07,54813222,26813222,127,2,"Action",1,6,1290,3287,1883,52,855,0,42,1.10378312765527,60501910,30905928
"Halloween II",6.5,1981,77000,2500000,25533818,23033818,92,1,"Horror",10,8,2145,1960,911,53,763,1,43,1.10378312765527,28183797,2759458
"Taps",6.8,1981,17000,1.4e+07,35856053,21856053,126,2,"Drama",7,6,980,849,733,53,1406,0,1,1.10378312765527,39577306,15452964
"Reds",7.3,1981,21000,3.2e+07,40382659,8382659,195,2,"Biography",4,6,2643,4080,2279,53,302,0,1,1.10378312765527,44573698,35321060
"Chariots of Fire",7.2,1981,56000,5500000,59303359,53803359,125,2,"Biography",4,6,1017,738,179,52,847,0,483,1.10378312765527,65458047,6070807
"Absence of Malice",6.9,1981,12000,1.2e+07,40716963,28716963,116,2,"Drama",7,6,2476,2319,1725,53,644,0,467,1.10378312765527,44942697,13245398
"Tarzan the Ape Man",3.4,1981,5300,6500000,36565280,30065280,115,1,"Adventure",2,2,1280,3968,225,53,1460,1,583,1.10378312765527,40360139,7174590
"Victory",6.7,1981,29000,1e+07,10853418,853418,116,2,"Drama",7,6,1301,4167,1527,52,1371,0,1,1.10378312765527,11979820,11037831
"Arthur",6.9,1981,27000,7e+06,95461682,88461682,97,2,"Comedy",5,6,2427,3750,577,53,1593,0,3,1.10378312765527,105368994,7726482
"History of the World: Part I",6.9,1981,47000,1.1e+07,31672907,20672907,92,2,"Comedy",5,8,1723,2678,1506,53,439,0,1038,1.10378312765527,34960020,12141614
"The Howling",6.6,1981,32000,1e+06,17985893,16985893,91,1,"Horror",10,8,1238,1322,511,53,832,1,1116,1.10378312765527,19852525,1103783
"Dragonslayer",6.7,1981,16000,1.8e+07,14110013,-3889987,109,2,"Action",1,6,1711,1479,1754,52,1623,0,1,1.10378312765527,15574394,19868096
"Cutter's Way",6.9,1981,5300,3e+06,1752634,-1247366,109,2,"Crime",6,8,1033,2912,960,53,1085,0,16,1.10378312765527,1934528,3311349
"Quest for Fire",7.3,1981,21000,12500000,20962615,8462615,100,2,"Adventure",2,8,1140,1392,663,8,1205,0,62,1.10378312765527,23138181,13797289
"The Final Conflict",5.6,1981,19000,5e+06,20471382,15471382,108,2,"Horror",10,8,937,959,1934,52,2022,0,1134,1.10378312765527,22595966,5518916
"Mommie Dearest",6.7,1981,15000,5e+06,19032261,14032261,129,1,"Biography",4,8,826,676,676,53,1623,1,2,1.10378312765527,21007489,5518916
"Private Lessons",5.2,1981,3400,2800000,26279000,23479000,87,1,"Comedy",5,8,47,784,2113,53,303,1,7,1.10378312765527,29006317,3090593
"The Postman Always Rings Twice",6.6,1981,22000,1.2e+07,12376625,376625,122,2,"Crime",6,8,271,930,859,55,612,0,1123,1.10378312765527,13661110,13245398
"Deadly Blessing",5.6,1981,5200,2500000,8279042,5779042,100,1,"Horror",10,8,2650,1414,1425,53,1674,1,4,1.10378312765527,9138267,2759458
"Eyewitness",6,1981,4500,8500000,6400000,-2100000,103,2,"Crime",6,8,2044,3761,2304,53,2022,0,1,1.10378312765527,7064212,9382157
"Outland",6.6,1981,28000,1.6e+07,17374595,1374595,109,2,"Action",1,8,2019,3129,1987,52,1957,0,1,1.10378312765527,19177785,17660530
"S.O.B.",6.4,1981,5700,1.2e+07,14867086,2867086,122,1,"Comedy",5,8,256,419,1159,53,220,1,1,1.10378312765527,16410039,13245398
"The Beyond",6.8,1981,21000,4e+05,123843,-276157,87,1,"Horror",10,8,1586,840,309,25,1002,1,1127,1.10378312765527,136696,441513
"One from the Heart",6.5,1981,5700,2.6e+07,636796,-25363204,107,2,"Drama",7,8,807,289,706,53,2132,0,561,1.10378312765527,702885,28698361
"True Confessions",6.3,1981,7500,1e+07,12850276,2850276,108,2,"Crime",6,8,2616,1986,1858,53,551,0,12,1.10378312765527,14183918,11037831
"Nighthawks",6.4,1981,18000,5e+06,19905359,14905359,99,2,"Action",1,8,315,960,2112,53,2042,0,1,1.10378312765527,21971199,5518916
"Neighbors",5.6,1981,7600,8500000,29916207,21416207,94,2,"Comedy",5,8,1288,3875,1058,53,644,0,3,1.10378312765527,33021005,9382157
"Prince of the City",7.5,1981,7600,8600000,8124257,-475743,167,2,"Crime",6,8,2360,1757,2228,53,1593,0,1006,1.10378312765527,8967418,9492535
"Under the Rainbow",5.4,1981,2600,2e+07,18826490,-1173510,98,2,"Comedy",5,6,2435,1301,338,53,1200,0,516,1.10378312765527,20780362,22075663
"Carbon Copy",5.6,1981,2600,6e+06,9566593,3566593,92,2,"Comedy",5,6,1786,3691,741,53,730,0,2,1.10378312765527,10559444,6622699
"Modern Problems",5.1,1981,4900,8e+06,26154211,18154211,93,2,"Comedy",5,6,1462,2261,338,53,2022,0,2,1.10378312765527,28868577,8830265
"Pennies from Heaven",6.5,1981,5300,2.2e+07,9171289,-12828711,108,2,"Drama",7,8,999,1010,2087,53,1460,0,38,1.10378312765527,10123114,24283229
"Sphinx",5.2,1981,1300,1.4e+07,2022771,-11977229,118,1,"Adventure",2,6,828,1951,1326,52,1593,1,1,1.10378312765527,2232701,15452964
"Buddy Buddy",6.5,1981,4500,1e+07,7258543,-2741457,96,2,"Comedy",5,8,253,1274,858,53,1123,0,4,1.10378312765527,8011857,11037831
"Bustin' Loose",6.1,1981,2900,1.1e+07,31261269,20261269,94,2,"Comedy",5,8,1926,2441,1840,53,2042,0,3,1.10378312765527,34505661,12141614
"Heartbeeps",4.3,1981,1300,1.2e+07,2154696,-9845304,78,2,"Comedy",5,6,81,1992,101,53,2042,0,1,1.10378312765527,2378317,13245398
"Take This Job and Shove It",5,1981,761,3500000,17569027,14069027,100,2,"Comedy",5,6,960,343,1863,53,593,0,192,1.10378312765527,19392396,3863241
"Whose Life Is It Anyway?",7.3,1981,2700,1.3e+07,8206145,-4793855,119,2,"Comedy",5,8,1263,484,1828,53,1460,0,88,1.10378312765527,9057804,14349181
"Inchon",2.7,1981,659,4.6e+07,5200986,-40799014,140,2,"Drama",7,6,2502,3424,1308,44,1583,0,1,1.10378312765527,5740761,50774024
"All Night Long",5.5,1981,1700,1.4e+07,4454295,-9545705,87,2,"Comedy",5,8,1137,4061,729,53,2042,0,73,1.10378312765527,4916576,15452964
"The Pursuit of D.B. Cooper",5.6,1981,1100,1.2e+07,3702028,-8297972,100,2,"Adventure",2,6,2238,1616,1860,53,1676,0,1585,1.10378312765527,4086236,13245398
"Rollover",5.4,1981,1100,1.6e+07,10851261,-5148739,116,1,"Drama",7,8,44,1556,915,53,1211,1,1,1.10378312765527,11977439,17660530
"Honky Tonk Freeway",5.2,1981,928,2.4e+07,2004742,-21995258,107,2,"Action",1,6,1333,1141,500,53,833,0,4,1.10378312765527,2212800,26490795
"King of the Mountain",5.5,1981,384,2e+06,1791147,-208853,90,2,"Action",1,6,1905,866,796,53,1676,0,993,1.10378312765527,1977038,2207566
"Fast Times at Ridgemont High",7.2,1982,98000,4500000,27092880,22592880,90,2,"Comedy",5,8,90,546,1994,53,2042,0,43,1.1717580416751,31746300,5272911
"Blade Runner",8.1,1982,710000,2.8e+07,41676878,13676878,117,2,"Action",1,8,2148,1486,794,53,1957,0,13,1.1717580416751,48835217,32809225
"The Thing",8.1,1982,382000,1.5e+07,19632053,4632053,109,2,"Horror",10,8,1273,407,1283,53,2042,0,1125,1.1717580416751,23004016,17576371
"Conan the Barbarian",6.9,1982,141000,2e+07,68851475,48851475,129,2,"Action",1,8,1318,3361,149,53,2042,0,502,1.1717580416751,80677270,23435161
"First Blood",7.7,1982,234000,1.5e+07,125212904,110212904,93,2,"Action",1,8,2498,937,2112,53,155,0,34,1.1717580416751,146719227,17576371
"An Officer and a Gentleman",7,1982,52000,7500000,129795554,122295554,124,2,"Drama",7,8,2494,1083,1831,53,1371,0,232,1.1717580416751,152088984,8788185
"Grease 2",4.4,1982,34000,13200000,15171476,1971476,115,1,"Comedy",5,6,1944,2249,1570,53,1623,1,94,1.1717580416751,17777299,15467206
"Annie",6.6,1982,41000,5e+07,57063861,7063861,127,1,"Comedy",5,6,1301,568,25,53,644,1,2,1.1717580416751,66865038,58587902
"Poltergeist",7.3,1982,148000,10700000,77142388,66442388,114,1,"Horror",10,6,2546,3784,1041,53,1460,1,3,1.1717580416751,90392213,12537811
"48 Hrs.",6.9,1982,73000,1.2e+07,78868508,66868508,96,2,"Action",1,8,2641,3446,1641,53,1623,0,4,1.1717580416751,92414808,14061097
"Star Trek II: The Wrath of Khan",7.7,1982,115000,11200000,78912963,67712963,113,2,"Action",1,6,1871,1348,2309,53,1623,0,1638,1.1717580416751,92466899,13123690
"Sophie's Choice",7.6,1982,44000,1.2e+07,30036000,18036000,150,1,"Drama",7,8,44,4155,1520,52,1183,1,2,1.1717580416751,35194925,14061097
"Gandhi",8,1982,220000,2.2e+07,52767889,30767889,191,2,"Biography",4,6,2110,1945,181,52,1206,0,1,1.1717580416751,61831198,25778677
"Tootsie",7.4,1982,1e+05,2.1e+07,177200000,156200000,116,2,"Comedy",5,6,2476,1057,578,53,644,0,1,1.1717580416751,207635525,24606919
"Tron",6.8,1982,115000,1.7e+07,33000525,16000525,96,2,"Action",1,6,2445,3775,960,53,2077,0,1,1.1717580416751,38668631,19919887
"The Secret of NIMH",7.6,1982,37000,7e+06,14665733,7665733,82,1,"Animation",3,3,686,3346,615,53,254,1,1597,1.1717580416751,17184691,8202306
"The King of Comedy",7.8,1982,94000,2e+07,2536242,-17463758,109,2,"Comedy",5,6,1685,3049,1858,53,831,0,1605,1.1717580416751,2971862,23435161
"Rocky III",6.8,1982,179000,1.7e+07,125052686,108052686,99,2,"Drama",7,6,2479,3819,2112,53,551,0,21,1.1717580416751,146531490,19919887
"The Beastmaster",6.2,1982,22000,8e+06,14056528,6056528,118,2,"Action",1,6,687,1051,1421,53,1335,0,1117,1.1717580416751,16470850,9374064
"Creepshow",6.9,1982,44000,8e+06,21028755,13028755,120,2,"Comedy",5,8,888,3717,784,53,2038,0,2,1.1717580416751,24640613,9374064
"The Man from Snowy River",7.3,1982,8200,3500000,20659423,17159423,102,2,"Adventure",2,6,901,4,1261,4,480,0,1228,1.1717580416751,24207845,4101153
"Pink Floyd: The Wall",8,1982,78000,1.2e+07,22265763,10265763,95,2,"Drama",7,8,48,3448,227,52,1041,0,1129,1.1717580416751,26090087,14061097
"Cat People",6.2,1982,20000,1.8e+07,7e+06,-1.1e+07,118,1,"Fantasy",9,8,1983,1025,1613,53,1772,1,10,1.1717580416751,8202306,21091645
"Friday the 13th Part III",5.7,1982,49000,2300000,36690067,34390067,95,1,"Horror",10,8,2432,2609,442,53,1623,1,561,1.1717580416751,42991881,2695043
"Firefox",6,1982,26000,1.8e+07,46708276,28708276,136,2,"Action",1,6,471,108,401,53,1406,0,1,1.1717580416751,54730798,21091645
"Halloween III: Season of the Witch",5,1982,45000,2500000,14400000,11900000,98,2,"Horror",10,8,2588,3982,2187,53,763,0,988,1.1717580416751,16873316,2929395
"The Dark Crystal",7.2,1982,63000,1.5e+07,41630431,26630431,93,2,"Adventure",2,6,1207,942,1027,52,1183,0,1145,1.1717580416751,48780792,17576371
